ordem;processo;area;pontuacao_nao_calibrada;resultado_historico;rodada
4251;810.499/2013;820;0.12520134227658822;0;8
4252;806.413/2012;2955;0.12514335736734739;1;8
4253;810.561/2010;3961;0.12493744161441177;0;8
4254;800.108/2017;491;0.12493614052173514;1;8
4255;800.464/2017;3623;0.12493614052173514;0;8
4256;810.260/2018;797;0.12442073756434716;0;8
4257;820.656/2016;1021;0.12406687674537836;0;8
4258;890.209/2016;2180;0.12385337951525578;1;8
4259;890.216/2016;4171;0.12356964985472714;1;8
4260;803.039/2013;626;0.12328611022670027;1;8
4261;803.103/2014;639;0.12301489158134593;0;8
4262;848.327/2015;1477;0.12297324107952014;0;8
4263;880.549/2008;3427;0.12292573814162118;0;8
4264;860.982/2015;3734;0.12200582335775488;0;8
4265;860.285/2015;4107;0.12200582335775488;1;8
4266;861.416/2013;4125;0.12200582335775488;1;8
4267;861.568/2013;4127;0.12200582335775488;1;8
4268;864.088/2016;4136;0.12157924202879464;0;8
4269;810.024/2009;3801;0.12131347977689186;0;8
4270;810.026/2009;3804;0.12131347977689186;0;8
4271;810.032/2009;4412;0.12131347977689186;0;8
4272;810.038/2009;4418;0.12131347977689186;0;8
4273;810.036/2009;4419;0.12131347977689186;0;8
4274;815.009/2012;898;0.12086212709580285;1;8
4275;810.818/2015;851;0.12074571797752935;0;8
4276;860.325/2015;1604;0.12055965056747713;1;8
4277;860.986/2014;1701;0.12055965056747713;1;8
4278;896.235/2016;2250;0.12049700488714252;0;8
4279;800.221/2005;4954;0.12018579554619391;0;8
4280;803.156/2013;646;0.12017566203390372;0;8
4281;810.655/2013;837;0.1198695854697607;0;8
4282;300.921/2019;372;0.11968494637642639;1;8
4283;896.397/2014;2264;0.11965702749812743;0;8
4284;890.108/2015;2177;0.11963570416251681;1;8
4285;890.395/2015;2199;0.11963570416251681;0;8
4286;803.113/2014;642;0.11883901180012889;0;8
4287;872.795/2016;3747;0.1182980927033439;1;8
4288;810.375/2010;3246;0.11817295647690032;1;8
4289;810.376/2010;3247;0.11817295647690032;1;8
4290;890.334/2006;2193;0.11797516264085599;1;8
4291;800.506/2014;558;0.1179654650757043;0;8
4292;880.121/2014;2129;0.11756507219418127;0;8
4293;811.152/2017;871;0.11750028374965803;0;8
4294;811.185/2017;874;0.11750028374965803;1;8
4295;800.028/2017;481;0.11747350288961432;1;8
4296;840.235/2017;2405;0.11746952400348308;1;8
4297;800.687/2016;585;0.11711697110535875;0;8
4298;300.775/2017;319;0.11696105724859945;1;8
4299;840.998/2011;2447;0.11683065424087063;1;8
4300;848.553/2008;1489;0.11674514461012607;0;8
4301;800.672/2016;582;0.11669040857281995;0;8
4302;820.275/2019;2484;0.11665148669072734;1;8
4303;300.321/2018;3852;0.11649849098156806;0;8
4304;820.478/2015;1008;0.11635260133824657;1;8
4305;300.082/2017;118;0.11618131379168142;1;8
4306;810.820/2017;3977;0.11618131379168142;1;8
4307;880.061/2013;2118;0.11609740788591834;0;8
4308;803.273/2013;674;0.1160104979413562;1;8
4309;860.148/2014;1566;0.11599485281914101;1;8
4310;300.082/2022;119;0.11585340752511784;1;8
4311;300.851/2020;3891;0.11585340752511784;0;8
4312;300.948/2020;3901;0.11585340752511784;0;8
4313;301.405/2022;4406;0.11585340752511784;0;8
4314;810.181/2021;4464;0.11585340752511784;0;8
4315;803.033/2013;621;0.1157217955923676;1;8
4316;860.934/2017;2471;0.11548901049658485;0;8
4317;800.856/2012;597;0.11509339495060417;1;8
